Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/66dc39a960553cdf73810cca?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Richmond, VA
Chester, VA
Deer Park, TX
South Charleston, WV
Baytown, TX
The Woodlands, TX
Humble, TX
Triadelphia, WV
Vienna, WV
Morgantown, WV",Sport Clips Haircuts,10000+,"Beauty,Fashion",$15-$40 /hr,"1. A valid cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
"Assistant Colorist, Licensed Cosmetologist ",2025-06-09,https://jobright.ai/jobs/info/68475c382766a2791b3203d3?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Reston, VA
Fairfax Corners, VA",Madison Reed,501-1000,"Beauty,Consumer Goods",$23-$27 /hr,"1. Active cosmetology license in the state in which you are applying.
2. Entry level experience in any customer service or retail sales environment.
3. Effective communication, strong problem solving and people skills, in a fast-paced retail or salon environment.
4. Comfortable operating point of sale systems.
5. Fluency in English.",not sure,
Stage Manager,2025-06-09,https://jobright.ai/jobs/info/68475c382766a2791b320428?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"El Segundo, CA",AEG,10000+,"Card and Board Games,Leisure",$25-$25 /hr,"1. Must be 18+ years of age
2. Must be a high school graduate (or equivalent)
3. Must be proactive, organized, and resourceful with great attention to detail
4. Ability to multi-task, meet tight timelines, and work effectively in a high pressure and fast-paced environment
5. Exceptional problem-solving skills and ability to prioritize efficiently and quickly
...",not sure,
Pride Corporate Kitchen Crew,2025-06-09,https://jobright.ai/jobs/info/684756d71011025712f084d4?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Springfield, MA","GPM Investments, LLC",5001-10000,"Accounting,Consumer Goods",$16-$16 /hr,"1. Responsible for preparing, assembling and packaging food items while adhering to food safety, food handling, and sanitation procedures.
2. Assemble and package fresh food products according to health and safety guidelines.
3. Work in a fast paced environment completing orders of prepared subs, sandwiches, fruit cups, salads, etc.
4. Must be able to work under pressure and on your feet.
5. Sundays REQUIRED.
...",not sure,
Licensed Assistant Salon Manager,2025-06-09,https://jobright.ai/jobs/info/6793cb73f1b7df53b5d6e217?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"St Paul, MN",Sport Clips Haircuts,10000+,"Beauty,Fashion",$26-$31 /hr,1. Minnesota Barber License or Minnesota Cosmetologist License,not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/66934f9f5d386ebc07d0febd?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Missouri City, TX",Sport Clips Haircuts,10000+,"Beauty,Fashion",$26-$28 /hr,"1. A valid cosmetology or barber license
2. Ability to work Friday/Saturday/Sunday
3. Exceptional customer service and interpersonal communication skills
4. Industry passion.",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/662af311e0f2d0369fb50b78?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Grand Junction, CO
Denver, CO",Sport Clips Haircuts,10000+,"Beauty,Fashion",$28-$45 /hr,"1. A valid cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
Research Associate Producer,2025-06-09,https://jobright.ai/jobs/info/6855c7cd9c7b7e603075aa81?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,USA - CA - Los Angeles - 13031 W. Jefferson Blvd #400,Fox Corporation,10000+,"Broadcasting,Media and Entertainment",$20-$22 /hr,"1. Bachelor’s degree in Journalism, Communications, English, or related field
2. 1-2+ years’ experience working on an entertainment show or website
3. Ability to work well under pressure and multi-task in a fast-paced environment
4. Knowledge regarding entertainment news events and topics
5. Knowledge of social media, and the ability to effectively use and monitor various platforms",not sure,
Studio Stream Ops Engineer,2025-06-09,https://jobright.ai/jobs/info/684734b03b4bb73bd22c04bf?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"New York, NY, USA",Equinox,10000+,"Fitness,Health Care",$20-$20 /hr,"1. Knowledge of ATEM software control systems and OBS streaming software.
2. Basic understanding of digital audio mixers.
3. Level of technical know-how to assess and address technical issues that may arise.
4. Interest and ability to learn and adapt.
5. Strong organizational skills and attention to detail.
...",not sure,
Life and Trends Reporter,2025-06-09,https://jobright.ai/jobs/info/684731c616dfbddd208573cb?utm_source=1100&utm_campaign=Arts and Entertainment,Remote,United States,Newsweek,251-500,News,$60K-$65K /yr,"1. Bachelor’s degree in journalism, communications, or a related field.
2. Proven experience in creating content in a newsroom or digital publication or similar environment, with a track record of engaging a large audience.
3. Deep understanding of lifestyle trending topics like internet conversations, health, entertainment, science, wellness and beyond.
4. Strong editorial judgment with an exceptional ability to spot trending content.
5. Ability to adapt to rapidly changing trends and pivot strategies accordingly without compromising on quality.",not sure,
Conversion Crew| Rupp Arena,2025-06-09,https://jobright.ai/jobs/info/6847ac3f54066cf27472d122?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"Lexington, KY",Oak View Group,5001-10000,Sports,$15-$18 /hr,"1. High school diploma or GED required.
2. Must be able to stand, stoop, kneel and bend for long periods of time.
3. Will need to able to lift up to 50 lbs.
4. Working knowledge of power tools and operation of a forklift/hi-lift is a plus.
5. Ability to effectively communicate and critical thinking involved.
...",not sure,
Custom Framer,2025-06-09,https://jobright.ai/jobs/info/68472d664a105957395d6be4?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Henderson, NV",Hobby Lobby,10000+,Retail,$15-$20 /hr,"1. Be knowledgeable with Fine Arts
2. Have Experience in Custom Molding for Picture Framing
3. Have excellent Customer Service Skills
4. Have Merchandise Display experience
5. Possess Basic Computer Skills
...",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/65e0cac48d1a0044dc157a2e?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Denver, CO
Collierville, TN",Sport Clips Haircuts,10000+,"Beauty,Fashion",$24-$30 /hr,"1. A valid CO cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion.",not sure,
Temporary Associate Video Editor,2025-06-09,https://jobright.ai/jobs/info/68471b3ffafe4a7db8fc3018?utm_source=1100&utm_campaign=Arts and Entertainment,Hybrid,"Jersey City, NJ",Forbes,251-500,"Ediscovery,Education",$30-$30 /hr,"1. 1+ years of experience in video production in digital publishing, production company or agency/brand setting
2. Lighting fast video editor
3. Be a strategic thinker who can balance multiple projects at once and understand what to prioritize and how to disseminate a story
4. Have strong editorial judgement with a keen understanding of news, politics, business and pop culture
5. Working knowledge of the Adobe Creative suite (with a focus on Premiere Pro and Photoshop)
...",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/66925d0debeb149af4b2785d?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Forked River, NJ",Sport Clips Haircuts,10000+,"Beauty,Fashion",$28-$35 /hr,"1. A valid NJ cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion.",not sure,
Seasonal Avid/Interplay Media Specialist,2025-06-09,https://jobright.ai/jobs/info/68471732a849e7a9e715008d?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Mount Laurel, NJ",National Football League (NFL),5001-10000,"American Football,Media and Entertainment",$28-$32 /hr,"1. BA/BS and experience in a production/post-production facility
2. Professional experience with Avid Media Composer & Interplay; Media Composer 2020 preferred
3. Experience with multiple digital media file types and codecs, including working knowledge of frame rates, resolutions, and aspect ratios
4. Possession of strong computer skills on both Mac and PC systems
5. Excellent organizational and communication skills, both verbal and written
...",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/664f355d74b9d07f40fc47c9?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Brookfield, WI
Waukesha, WI
Cookeville, TN
Cleburne, TX
Durant, OK
Burleson, TX",Sport Clips Haircuts,10000+,"Beauty,Fashion",$20-$30 /hr,"1. A valid cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/66760de4ad2dd17614c4883e?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Cheyenne, WY",Sport Clips Haircuts,10000+,"Beauty,Fashion",$14-$16 /hr,"1. A valid cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
Seasonal Avid/Interplay Media Specialist ,2025-06-09,https://jobright.ai/jobs/info/68470bd288473628f6ba9b59?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Mount Laurel, New Jersey, United States",National Football League (NFL),5001-10000,"American Football,Media and Entertainment",$28-$32 /hr,"1. BA/BS and experience in a production/post-production facility
2. Professional experience with Avid Media Composer & Interplay; Media Composer 2020 preferred
3. Experience with multiple digital media file types and codecs, including working knowledge of frame rates, resolutions, and aspect ratios
4. Possession of strong computer skills on both Mac and PC systems
5. Excellent organizational and communication skills, both verbal and written
...",no,
Part-Time Events Coordinator,2025-06-09,https://jobright.ai/jobs/info/6846ff30aede8872d21b520e?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,Mira Loma-6381 Pats Ranch Rd,Michaels Stores,501-1000,"Education,Marketplace",$17.25-$20.30 /hr,"1. Plan, coordinate, and facilitate events (including kids birthday parties) within a Michaels store.
2. Deliver friendly customer service by helping customers shop at our store and find what they’re looking for.
3. Ensure all customers receive a fast and friendly checkout experience.
4. Complete operational tasks including truck unload, merchandise duties, and maintaining store recovery standards as needed.
5. Engage with clients of all ages, from 4 to 94+, by creating an environment of fun and creativity.
...",not sure,
Hair Stylist/Barber,2025-06-09,https://jobright.ai/jobs/info/664dff9dd79e0cf765500b6c?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Nampa, ID
Oceanside, CA",Sport Clips Haircuts,10000+,"Beauty,Fashion",$25-$30 /hr,"1. Current cosmetology or barber license
2. Ability to provide exceptional client service
3. Good communication skills
4. Industry Passion!
5. Ability to work in a Team atmosphere",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/65e0aebc5c9e297a83bbed44?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Louisville, KY",Sport Clips Haircuts,10000+,"Beauty,Fashion",$14-$33 /hr,"1. A valid KY cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
Hair Stylist/Barber,2025-06-09,https://jobright.ai/jobs/info/6692a7b6df528f73f4c29035?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Woods Cross, UT
Carlsbad, CA
Layton, UT
Ogden, UT",Sport Clips Haircuts,10000+,"Beauty,Fashion",$22-$30 /hr,"1. Current cosmetology or barber license
2. Ability to provide exceptional client service
3. Good communication skills
4. Industry Passion!
5. Ability to work in a Team atmosphere",not sure,
Associate Producer - Spectrum Noticias,2025-06-09,https://jobright.ai/jobs/info/684ad0a6c64a66731b541471?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"New York, New York",Spectrum,10000+,"Digital Entertainment,Internet",$20.40-$36.10 /hr,"1. Television news - 0-2 years
2. Write and speak Spanish fluently
3. Bachelor's Degree or equivalent professional experience
4. Knowledge of current events, social media, and industry trends
5. Ability to collaborate, news writing skills, and attention to detail
...",not sure,yes
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/664f355d74b9d07f40fc4776?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Memphis, TN",Sport Clips Haircuts,10000+,"Beauty,Fashion",$22-$34 /hr,"1. A valid TN cosmetology or barber license is required
2. Ability to provide an exceptional client experience
3. Industry passion",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/6690b5491acf37e6b248014d?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Crystal City, MO",Sport Clips Haircuts,10000+,"Beauty,Fashion",$26-$36 /hr,"1. Holders of a valid cosmetology or barber license as per state regulations.
2. Individuals with excellent communication skills who love interacting with people.
3. Enthusiasts for haircare and styling, eager to learn and grow in their craft.
4. Team players who thrive in a bustling environment.",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/6676b393a2f49d4e236dc73e?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Aurora, CO",Sport Clips Haircuts,10000+,"Beauty,Fashion",$18.50-$18.50 /hr,"1. Passionate about cutting hair and making clients look great
2. Dedicated to exceptional customer service
3. Ability to build a large client base
4. Reliable, flexible, motivated, and responsible
5. Interest in growing and learning in the cosmetology career
...",not sure,
Hair Stylist/Barber,2025-06-09,https://jobright.ai/jobs/info/6676cf78131cc9dd67df31f7?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Houston, TX
Cypress, TX",Sport Clips Haircuts,10000+,"Beauty,Fashion",$38-$38 /hr,"1. A valid Texas cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/66e298a46c14a5ce736a9037?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Torrance, CA",Sport Clips Haircuts,10000+,"Beauty,Fashion",$17-$27 /hr,"1. A valid CA cosmetology license is required
2. Ability to provide an exceptional client experience
3. Industry passion",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/66e6dd104d92e042a0b43e4d?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Palm Desert, CA",Sport Clips Haircuts,10000+,"Beauty,Fashion",$26-$32 /hr,"1. A valid CA cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion.",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/6676bbf09b9f24e2dbdca6f3?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Castle Rock, CO",Sport Clips Haircuts,10000+,"Beauty,Fashion",$18-$45 /hr,"1. Passionate about cutting hair and making clients look great
2. Dedication to exceptional customer service
3. Ability to build a large client base
4. Reliable, flexible, motivated, and responsible
5. Interest in growing and learning in the cosmetology career
...",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/67534f2a53621d7d5f64cdf3?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Tallahassee, FL",Sport Clips Haircuts,10000+,"Beauty,Fashion",$19-$24 /hr,"1. A valid FL cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion.",not sure,
Hair Stylist/Barber,2025-06-09,https://jobright.ai/jobs/info/677dfc7948d6bb48a5647c81?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Fontana, CA
Somers Point, NJ
Glendora, CA
Chino, CA",Sport Clips Haircuts,10000+,"Beauty,Fashion",$17-$17 /hr,"1. Valid California Cosmetology or Barbers license
2. Ability to work a flexible schedule
3. Industry passion
4. Exceptional customer service and interpersonal communication skills",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/664f4284ad2d60bfd323280a?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Glassboro, NJ
Woodbury, NJ",Sport Clips Haircuts,10000+,"Beauty,Fashion",$22-$35 /hr,"1. A valid cosmetology or barber license
2. Ability to work 2 Weekends a month
3. Exceptional customer service and interpersonal communication skills
4. Industry passion.",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/6752fe2edf01aa6d906b6b13?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Lake Havasu City, AZ",Sport Clips Haircuts,10000+,"Beauty,Fashion",$20-$25 /hr,"1. A valid cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion.",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/66dd8c50ee6fe59a91fb955f?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Lexington, KY",Sport Clips Haircuts,10000+,"Beauty,Fashion",$24-$34 /hr,"1. A valid KY cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
Reporter - Mergermarket,2025-06-09,https://jobright.ai/jobs/info/6662a77ab94cf50777138da5?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,New York or Chicago or Charlottesville,ION,1001-5000,"Accounting,Asset Management",$80000-$120000 /yr,"1. 1-3 years business journalism experience
2. Interest in exploring, understanding and telling the story of company’s growth plans and current obstacles
3. Strong interviewing skills, with a demonstrated aptitude for breaking news and uncovering closely guarded information and maintaining strong source relationships
4. Ability to write clear, concise and actionable copy
5. Proficiency in understanding capital allocation and investment strategies",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/664def5acf7bdc8f73b3bfd5?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"West Chicago, IL",Sport Clips Haircuts,10000+,"Beauty,Fashion",$23-$34 /hr,"1. A valid IL cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion.",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/664f355d74b9d07f40fc4739?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Memphis, TN",Sport Clips Haircuts,10000+,"Beauty,Fashion",$20-$36 /hr,"1. A valid TN cosmetology or barber license is required
2. Ability to provide an exceptional client experience
3. Industry passion",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/664def5acf7bdc8f73b3bfd1?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Rockford, IL
Machesney Park, IL
McHenry, IL
Sterling, IL",Sport Clips Haircuts,10000+,"Beauty,Fashion",$13 /hr,"1. Must be a licensed cosmetologist or barber
2. Ability to work in a fast-paced environment
3. Desire to grow in the field and take on roles such as assistant manager, trainer, or ambassador
4. Experience with men's haircutting techniques (training provided for new cosmetologists)",not sure,
Hair Stylist/Barber,2025-06-09,https://jobright.ai/jobs/info/664dffb9d79e0cf765500d55?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Albuquerque, NM",Sport Clips Haircuts,10000+,"Beauty,Fashion",$14-$19 /hr,"1. A valid New Mexico cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and communication skills
4. Industry passion",not sure,
Hair Stylist/Barber,2025-06-09,https://jobright.ai/jobs/info/664dffd4d79e0cf765500fd5?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Frisco, TX
Richmond, TX
Prosper, TX
Denton, TX",Sport Clips Haircuts,10000+,"Beauty,Fashion",$15-$35 /hr,"1. A valid TX cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
Hair Stylist/Barber,2025-06-09,https://jobright.ai/jobs/info/6751a0200be99f68602b812b?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
West Fargo, ND
Grand Forks, ND",Sport Clips Haircuts,10000+,"Beauty,Fashion",$25-$45 /hr,"1. A valid cosmetology or barber license is required.
2. Ability to work a flexible schedule.
3. Exceptional customer service and interpersonal communication skills.
4. Must possess an industry passion.",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/6694f662f8f235777dbf9a0d?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Johnstown, CO",Sport Clips Haircuts,10000+,"Beauty,Fashion",$25-$42 /hr,"1. A valid cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion.",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/662b011a22c728ca05475185?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Manhattan Beach, CA
San Clemente, CA
Westlake Village, CA
El Segundo, CA",Sport Clips Haircuts,10000+,"Beauty,Fashion",$17-$30 /hr,"1. Hold a valid license in cosmetology or barbering
2. Have a flair for men's styling
3. Are looking for a collaborative, dynamic work environment where you can shine
4. Value professionalism, punctuality, and possess excellent communication skills",not sure,
Hair Stylist,2025-06-09,https://jobright.ai/jobs/info/660277c29606ca4e1049a893?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Corpus Christi, TX",Sport Clips Haircuts,10000+,"Beauty,Fashion",$21-$35 /hr,"1. A valid TX cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
Hair Stylist/Barber,2025-06-09,https://jobright.ai/jobs/info/667306c419c37cefe78a19c2?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Bangor, ME",Sport Clips Haircuts,10000+,"Beauty,Fashion",$18-$30 /hr,"1. A valid ME cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
Hair Stylist,2025-06-08,https://jobright.ai/jobs/info/664f355574b9d07f40fc4713?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Texas City, TX
Folsom, CA",Sport Clips Haircuts,10000+,"Beauty,Fashion",$15-$30 /hr,"1. A valid TX cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion.",not sure,
Hair Stylist,2025-06-08,https://jobright.ai/jobs/info/660c5b6e259fd4b11cbbfc0d?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Destin, FL
Crestview, FL",Sport Clips Haircuts,10000+,"Beauty,Fashion",$25 /hr,"1. A valid FL cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
Hair Stylist,2025-06-08,https://jobright.ai/jobs/info/66761484e5fc016086b1bae0?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Peyton, CO",Sport Clips Haircuts,10000+,"Beauty,Fashion",$16-$25 /hr,"1. Passion for cutting hair and making clients look great
2. Dedication to exceptional customer service
3. Desire to build a large client base
4. Interest in staying up to date on the latest trends
5. Willingness to undergo ongoing training
...",not sure,
Hair Stylist/Barber,2025-06-08,https://jobright.ai/jobs/info/6676cf19131cc9dd67df2c09?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Greenwood, IN",Sport Clips Haircuts,10000+,"Beauty,Fashion",$25-$25 /hr,"1. Cosmetologist or Barber license
2. Ability to provide excellent customer service
3. Strong communication skills
4. Passion for hair styling and creativity
5. Willingness to participate in ongoing training and development",not sure,
Hair Stylist,2025-06-08,https://jobright.ai/jobs/info/678623398cc4c4759e6fdf61?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Cincinnati, OH",Sport Clips Haircuts,10000+,"Beauty,Fashion",$17-$34 /hr,"1. A valid state cosmetology or barber license for the state of Ohio is required
2. Ability to provide an exceptional client experience
3. Industry passion",not sure,
Hair Stylist,2025-06-08,https://jobright.ai/jobs/info/65e88259b7f15e54908a3788?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"San Diego, CA",Sport Clips Haircuts,10000+,"Beauty,Fashion",$16-$28 /hr,"1. A valid CA cosmetology license is required
2. Ability to provide an exceptional client experience
3. Industry passion",not sure,
Hair Stylist/Barber,2025-06-08,https://jobright.ai/jobs/info/65e87a48077dfdc78147bc2c?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Indianapolis, IN",Sport Clips Haircuts,10000+,"Beauty,Fashion",$15-$37 /hr,"1. A valid cosmetology or barber license is required.
2. Exceptional customer service and interpersonal communication skills.
3. Must possess an industry passion.",not sure,
Licensed Assistant Salon Manager,2025-06-08,https://jobright.ai/jobs/info/67933d9a8b8cd24636904f16?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Salina, KS",Sport Clips Haircuts,10000+,"Beauty,Fashion",$24-$29 /hr,,not sure,
Hair Stylist,2025-06-08,https://jobright.ai/jobs/info/667608d50f75793ae234ddde?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Moorpark, CA
Escondido, CA",Sport Clips Haircuts,10000+,"Beauty,Fashion",$17-$28 /hr,"1. A valid CA cosmetology license is required
2. Ability to provide an exceptional client experience
3. Industry passion",not sure,
Hair Stylist,2025-06-08,https://jobright.ai/jobs/info/66b648aa738b1cded17666b6?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Springfield, IL",Sport Clips Haircuts,10000+,"Beauty,Fashion",$27-$37 /hr,"1. Holders of a valid cosmetology or barber license as per state regulations.
2. Individuals with excellent communication skills who love interacting with people.
3. Enthusiasts for haircare and styling, eager to learn and grow in their craft.
4. Team players who thrive in a bustling environment.",not sure,
Hair Stylist,2025-06-08,https://jobright.ai/jobs/info/664defaccf7bdc8f73b3c713?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Jupiter, FL
Wellington, FL",Sport Clips Haircuts,10000+,"Beauty,Fashion",$15-$25 /hr,,not sure,
Hair Stylist/Barber,2025-06-08,https://jobright.ai/jobs/info/662af318e0f2d0369fb50b87?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"McAllen, TX",Sport Clips Haircuts,10000+,"Beauty,Fashion",,"1. A valid Texas cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
Production Associate - Garment Hanger/Inspector,2025-06-08,https://jobright.ai/jobs/info/67d5711e20312dd77a74b1f5?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Ontario, CA
Union, NJ",Cintas,10000+,"Compliance,Manufacturing",$16-$19 /hr,"1. Must be authorized to work in the US.
2. Must be 18 years of age or older.
3. Must adhere to attendance policy.
4. Must be willing to work in a safe proximity to other people for extended periods of time.
5. Must be willing to work in a fast-paced, schedule driven environment where there are time pressures to complete work quickly.
...",no,
Seasonal Producer III,2025-06-08,https://jobright.ai/jobs/info/68461a92bbea37df2617ed19?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Mount Laurel, NJ
Mount Laurel, New Jersey, United States",National Football League (NFL),5001-10000,"American Football,Media and Entertainment",$1500-$1955 /mon,"1. 4-year college degree in television, film, media, communications, creative writing, or other relevant areas of study.
2. Minimum 1-2 years of relevant job or internship experience in television/film production or creative writing.
3. Minimum 1-year video editing experience (prior experience with Avid Media Composer is preferred).
4. Detailed knowledge of professional football (NFL).
5. Interest in telling football stories and other sports stories.",not sure,
Hair Stylist,2025-06-08,https://jobright.ai/jobs/info/664f427cad2d60bfd32327b5?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Carbondale, IL",Sport Clips Haircuts,10000+,"Beauty,Fashion",$25-$31 /hr,"1. Holders of a valid cosmetology or barber license as per state regulations.
2. Individuals with excellent communication skills who love interacting with people.
3. Enthusiasts for haircare and styling, eager to learn and grow in their craft.
4. Team players who thrive in a bustling environment.",not sure,
Hair Stylist,2025-06-08,https://jobright.ai/jobs/info/6677c77664f2e472ffd6318d?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Marietta, GA",Sport Clips Haircuts,10000+,"Beauty,Fashion",$14-$29 /hr,"1. A valid GA cosmetology or barber license
2. Ability to work a flexible schedule
3. Exceptional customer service and interpersonal communication skills
4. Industry passion",not sure,
Hair Stylist,2025-06-08,https://jobright.ai/jobs/info/6676d87c4ffdc62f7b6799ab?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Clive, IA",Sport Clips Haircuts,10000+,"Beauty,Fashion",$25-$36 /hr,"1. A valid cosmetology or barber license
2. Ability to work a flexible schedule
3. Customer service and communication skills
4. Industry passion.",not sure,
